A1_A2_BX3,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev block,PymatgenData std_dev atomic_radius,PymatgenData std_dev mendeleev_no,PymatgenData std_dev melting_point,X-electro_negativity,B-radius,B-Electro-negativity,A1-radius,A2-radius,OctahedralFactor,ToleranceFactor,NEWToleranceFactor,formation energy(ev)
i-BuA_Py_PbCl3,0.451483665,8.055555556,0.612372436,0.504975247,6.436297532,1894.761882,3.16,119,2.33,360,322,0.657458564,1.230365799,3.242947861,-0.456253283
i-BuA_Py_SnCl3,0.473900286,8.055555556,0.612372436,0.440078381,6.215646327,1896.279782,3.16,115,1.96,360,322,0.635359116,1.246992364,3.301928536,-0.742555596
i-BuA_Py_SrCl3,0.625223293,7.388888889,0.608580619,0.546537925,24.22894275,1892.70332,3.16,118,0.95,360,322,0.651933702,1.234480735,3.257076175,0.455474419
i-BuA_Py_ZrCl3,0.556314343,7.5,0.732828109,0.457410687,14.89484748,1921.772811,3.16,109,1.33,360,322,0.602209945,1.272792206,3.403510103,0.118935761
i-BuA_TiZ_PbCl3,0.445991382,8.529411765,0.597762578,0.504360637,6.40651421,1795.503832,3.16,119,2.33,360,320,0.657458564,1.228008777,3.242557883,-0.62906734
i-BuA_TiZ_SrCl3,0.626076145,7.823529412,0.597762578,0.545577755,24.27645266,1794.287103,3.16,118,0.95,360,320,0.651933702,1.232115829,3.25662545,-0.251130629
IM_AA_HfCl3,0.603944824,8.689655172,0.704807241,0.448509436,15.23122647,1716.698858,3.16,109,1.3,303,300,0.602209945,1.176479386,3.379240129,2.124945086
IM_AA_PbCl3,0.471722803,9.379310345,0.575472702,0.500064931,6.340193368,1637.429366,3.16,119,2.33,303,300,0.657458564,1.137263406,3.246359795,-0.017581256
IM_AA_SnCl3,0.502201646,9.379310345,0.575472702,0.429729226,6.090763712,1638.47522,3.16,115,1.96,303,300,0.635359116,1.152631831,3.294016874,-0.417523801
IM_AA_SrCl3,0.674847987,8.551724138,0.583874208,0.54504855,25.44270365,1639.062158,3.16,118,0.95,303,300,0.651933702,1.141066963,3.257621293,0.537561509
IM_Az_CaCl3,0.651458949,8.266666667,0.590167107,0.503855107,25.01779552,1751.132667,3.16,100,1,303,284,0.552486188,1.194029066,3.535902928,0.786308322
IM_Az_HfCl3,0.592033804,8.4,0.713644117,0.452888904,15.17600558,1815.117336,3.16,109,1.3,303,284,0.602209945,1.156972992,3.37895496,-0.56235716
IM_Az_PbCl3,0.46427546,9.066666667,0.584897652,0.503855107,6.409769053,1751.298486,3.16,119,2.33,303,284,0.657458564,1.118407226,3.253077334,-0.117037552
IM_Az_SnCl3,0.49280897,9.066666667,0.584897652,0.4343245,6.167050165,1752.770703,3.16,115,1.96,303,284,0.635359116,1.133520837,3.297842966,-0.527459206
IM_Az_SrCl3,0.661990618,8.266666667,0.590167107,0.548343975,25.30926359,1750.430473,3.16,118,0.95,303,284,0.651933702,1.122147718,3.263603313,0.496285899
IM_Az_ZrCl3,0.586491906,8.4,0.713644117,0.452888904,15.46237819,1788.700225,3.16,109,1.33,303,284,0.602209945,1.156972992,3.37895496,5.080495569
IM_i-BuA_HfCl3,0.572428983,7.714285714,0.72461001,0.452696772,14.5984437,1857.246345,3.16,109,1.3,303,360,0.602209945,1.249628363,3.394830138,-3.95811744
IM_i-BuA_PbCl3,0.460931142,8.285714286,0.604280673,0.500489021,6.340949237,1799.539347,3.16,119,2.33,303,360,0.657458564,1.207974085,3.24009337,-0.816487257
IM_i-BuA_SnCl3,0.484369038,8.285714286,0.604280673,0.435280339,6.115827114,1800.782195,3.16,115,1.96,303,360,0.635359116,1.224298059,3.296705576,-1.119598049
IM_i-BuA_SrCl3,0.63629165,7.6,0.602302662,0.542237475,24.22645746,1799.049453,3.16,118,0.95,303,360,0.651933702,1.212014132,3.253623915,-0.145056591
IM_i-BuA_ZrCl3,0.567411953,7.714285714,0.72461001,0.452696772,14.87000152,1833.583568,3.16,109,1.33,303,360,0.602209945,1.249628363,3.394830138,3.945795502
IM_MA_HfCl3,0.625270554,8.538461538,0.724216677,0.467647172,16.07895062,1670.497643,3.16,109,1.3,303,238,0.602209945,1.100892109,3.39086761,2.055865536
IM_MA_PbCl3,0.481540046,9.307692308,0.580288457,0.522669756,6.598855807,1571.142855,3.16,119,2.33,303,238,0.657458564,1.064195706,3.289215314,-0.379304405
